,GVN,,LICM,,DSE,,LV,,SLP,,,
Functions,% increase in the number of pointer pairs,% increase in no-alias and must-alias pointer pairs,% increase in the number of pointer pairs,% increase in no-alias and must-alias pointer pairs,% increase in the number of pointer pairs,% increase in no-alias and must-alias pointer pairs,% increase in the number of pointer pairs,% increase in no-alias and must-alias pointer pairs,% increase in the number of pointer pairs,% increase in no-alias and must-alias pointer pairs,Performance improvement,Precision improvement
next_nonempty_voxel,128.39,51.77,1293.62,28.7,260,57.23,0,0,187.5,75,11.49,35.8
push_down_grid,119.6,27.67,0,100,505.56,96.34,0,0,48.49,66.66,-8.07,31.5
init_ray,61.04,27.69,33.34,100,26.16,67.69,0,0,22.5,55,-6.37,12.8
next_nonempty_leaf,0,37.29,50,50,0,0,0,0,0,0,3.56,11.7
ConvertPrimRayJobToRayMsg,34.89,2.41,0,0,82.76,10.34,0,0,1250,0,7.96,2.6
RayTrace,21.14,0.04,44.54,1.34,26.32,1.1,0,0,500,0,-9.42,-0.2
traverse_subtree,5.64,66.19,419.24,73.96,300,0,0,0,0,0,-7.48,30.8
v_intersect,34.62,51.28,0,0,0,0,0,0,0,0,-1.57,33.3
traverse_bsp,18.48,71.13,615.39,12.98,300,0,0,0,0,0,-0.83,32.6
check_patch_cache,-6.87,49.52,0,100,100,0,0,0,0,100,-2.48,59.8
compute_diff_disc_formfactor,64.91,9.13,0,0,25.6,0.96,0,0,1255.18,0,11.48,3
mme34,276.62,-23.6,732.73,-3.29,0,0.84,5356.1,-4.79,0,0,-0.4,13.2
nbond,75.96,45.48,297.9,-19.07,-9.1,18.18,0,0,0,0,0.3,38
searchkdtree,20.2,64.53,122.59,56.66,0,50,0,0,0,0,0.18,45
heapsort_pairs,16.67,38.09,53.85,36.92,0,75,0,0,0,0,0.13,26.9
price_out_impl,68.04,46.74,230.29,17.26,104.32,-5.7,2333.34,0,-1.34,22.66,1.14,19.4
primal_bea_mpp,49,69.25,186.37,71.89,140,75.55,0,0,300,0,0.27,11.1
spec_qsort,134.98,2.33,0.82,2.62,0,10.42,-4.17,0,0,0,-1.41,0.4
cost_compare,0,85,0,0,0,0,0,0,0,0,-0.74,78.8
arc_compare,0,86.66,0,0,0,0,0,0,0,0,0.04,71.4
bea_is_dual_infeasible,0,0,0,0,0,0,0,0,0,0,0.75,0
suspend_impl,14.39,41.91,145.72,76.95,0,7.69,0,0,0,0,0.05,22.6
switch_arcs,73.2,35.63,68.78,19.67,0,17.11,0,0,0,30.3,0.05,20.4
primal_iminus,10.39,58.68,387.1,77.91,-50,100,0,0,0,0,0,16.7
lzma_mf_bt4_find,206.58,54.76,665.39,16.93,23.08,36.53,0,0,0,0,1.25,34.7
lzma_lzma_optimum_normal,917.27,-36.91,196.53,-46.41,60,-32.18,8883.34,-10.99,0,0,-0.34,11.1
lzma_mf_bt4_skip,218.15,39.39,841.08,-27.49,111.12,56.14,0,0,0,0,0.01,65.4
lzma_decode,60.82,16.47,-10,20,0,21.43,0,0,0,0,1.85,56.2
rc_encode,179.83,38.53,49.54,43.59,19.36,54.83,0,0,0,0,-1.7,2.8
sha_compress,8.65,2.05,0,0.67,0,0,1257.15,-39.7,0,0,-0.02,11.5
MorphologyApply,80.62,4.7,0,0,0,0,0,0,0,0,-0.51,0.3
MeanShiftImage,44.66,3.88,0,0,0,0,0,0,0,0,-0.32,10.7
SetPixelCacheNexusPixels,55.83,37.32,0,64.29,0,20,0,0,0,0,-12.02,10.4
GetVirtualPixelsFromNexus,41.65,45.4,0,0,0,0,0,0,0,0,12.75,4.4
etext,0,0,0,0,0,0,0,0,0,0,1.18,0
computeSSIM,-14.04,32.66,-3.49,2.09,0,0,4950,0,0,0,0.1,2.9
init_lists_b_slice_mvc,0,0,0,0,0,0,0,0,0,0,-0.86,0
get_mem4Dpel,0,0,0,0,0,0,0,0,0,0,0.02,0
init_lists_mvc,0,0,0,0,0,0,0,0,0,0,0.21,0
EdgeLoopLumaVerMBAff,0,0,0,0,0,0,0,0,0,0,0,0
get_mem4DpelWithPad,0,0,0,0,0,0,0,0,0,0,0.04,0
perform_mc,59.67,26.98,0,0,0,0,2553.85,0,0,0,-0.06,11
CheckAvailabilityOfNeighbors,46.69,21.16,0,0,0,0,0,0,0,0,0,9.9
get_mem3DpelWithPadSeparately,0,0,0,0,0,0,0,0,0,0,0,0
store_picture_in_dpb,38.8,11.08,0,0,0,0,364.71,-1.85,0,0,-0.68,0.9
decode_slice,20.25,32.61,167.47,65.46,10.87,49.02,0,0,0,0,0.02,4.6
getNonAffNeighbour,52.5,43,0,0,0,0,0,0,0,0,0,23.1
get_mem4DpelWithPadSeparately,0,0,0,0,0,0,0,0,0,0,0.05,0
get_mem4Ddistblk,0,0,0,0,0,0,0,0,0,0,0.08,0
process_image,0,0,0,0,0,0,0,0,0,0,0.07,0
ParseCommand,0,0,51.79,-9.18,0,0,0,0,0,0,0.02,0.6
init_lists,0,0,0,0,0,0,0,0,0,0,0.22,0
get_block_chroma,228.13,32.34,29.04,37.41,-8.34,46.97,0,0,0,0,1.03,31.2
compare_fs_by_poc_asc,0,0,0,0,0,0,0,0,0,0,0,0
decode_one_frame,224.27,26.35,0,0,0,0,0,0,0,0,-0.01,13.4
init_contexts,0,0,0,0,0,0,0,0,0,0,3.87,0
get_mem5Dint,0,0,0,0,0,0,0,0,0,0,-0.14,0
skip_macroblock,126.16,10.78,0,0,0,0,0,0,0,0,0,20.9
free_mem3Dint64,0,0,0,0,0,0,0,0,0,0,-0.49,0
get_mem3DpelWithPad,250,100,0,0,0,0,0,0,0,0,0,7.7
init_lists_p_slice_mvc,0,0,0,0,0,0,0,0,0,0,-0.04,0
get_mem2DpelWithPad,25,75,0,0,0,0,0,0,0,0,0,13.2
get_mem4Dint64,0,0,0,0,0,0,0,0,0,0,0.51,0
check_next_mb_and_get_field_mode_CABAC_p_slice,0,0,0,0,0,0,0,0,0,0,0.02,0
insert_picture_in_dpb,32.16,13.83,0,0,0,0,0,0,0,0,0,1.5
read_new_slice,56.9,57.87,43.93,39.07,18.97,37.29,0,0,-1.63,10.74,0.01,9.3
intrapred_chroma,198.78,-2.93,0,0,0,0,0,0,0,0,-0.62,10.6
free_mem2Dint,0,0,0,0,0,0,0,0,0,0,0,30
free_mem3Dint,0,100,0,0,0,0,0,0,0,0,-0.56,28.6
buffer2img,0,0,0,0,0,0,0,0,0,0,-0.04,0
free_mem4D,0,100,0,0,0,0,0,0,0,0,-0.37,26.7
get_mem3Dpel,200,100,0,0,0,0,200,0,0,0,0,7.7
fmo_init,1.13,10.3,160.98,-7.73,0,18.18,0,0,0,0,0.05,8.9
reorder_lists,6.18,32.96,0,0,0,0,0,0,0,0,0.02,22.2
get_mem4Dquant,0,0,0,0,0,0,0,0,0,0,-0.02,0
get_mem4Dint,160,100,-33.34,100,0,50,616.67,23.26,0,0,6.02,23.1
get_mem6Dmv,0,0,0,0,0,0,0,0,0,0,0,0
exit_picture,1526.9,-1.48,0,0,0,0,0,0,0,0,0,3.9
getAffNeighbour,0,0,0,0,0,0,0,0,0,0,-0.06,0
get_mem2Ddistblk,0,0,0,0,0,0,0,0,0,0,0,0
ercWriteMBMODEandMV,0,0,0,0,0,0,0,0,0,0,0.01,0
ReadTIFFImage,0,0,0,0,0,0,0,0,0,0,0.25,0
read_CBP_and_coeffs_from_NAL_CAVLC_420,0,0,0,0,0,0,0,0,0,0,-0.01,0
MuxImages,0,0,0,0,0,0,0,0,0,0,0,0
get_block_luma,148.84,48.76,0,0,0,0,-5.79,-2.32,0,0,-0.72,5.5
get_mem7Dmv,0,0,0,0,0,0,0,0,0,0,0,0
free_mem2Ddistblk,0,0,0,0,0,0,0,0,0,0,-0.23,0
read_CBP_and_coeffs_from_NAL_CAVLC_422,0,0,0,0,0,0,0,0,0,0,0.07,0
init_dpb,289.59,62.45,0,0,0,0,0,0,0,0,0,40.8
find_snr,0,0,0,0,0,0,0,0,0,0,0.03,0
clear_picture,0,0,0,0,0,0,0,0,0,0,-0.01,0
read_CBP_CABAC,100,24.62,71.7,25.79,0,0,0,0,0,0,0.09,27.7
read_CBP_and_coeffs_from_NAL_CAVLC_400,0,0,0,0,0,0,0,0,0,0,-0.01,0
get_mem3Dmp,0,0,0,0,0,0,0,0,0,0,0,0
free_mem4Dint,0,100,0,0,0,0,0,0,0,0,-2.24,27.3
write_picture,169.16,-4.85,0,0,0,0,0,0,0,0,-0.06,7.2
intrapred_chroma_mbaff,0,0,0,0,0,0,0,0,0,0,-0.08,0
ercCollect8PredBlocks,0,0,0,0,0,0,0,0,0,0,0,0
output_one_frame_from_dpb,13.34,30.69,0,0,0,0,0,0,0,0,-0.01,23.5
decode_one_slice,309.02,37.75,0,0,0,0,1560,0,0,0,0,11.4
free_mem2DintWithPad,0,0,0,0,0,0,0,0,0,0,-0.03,0
get_mem2Ddist,0,0,0,0,0,0,0,0,0,0,0.01,0
init_macroblock,0,0,0,0,0,0,0,0,0,0,0,0
ercPixConcealIMB,0,0,0,0,0,0,0,0,0,0,0,0
get_mem5Dquant,0,0,0,0,0,0,0,0,0,0,0,0
buildPredRegionYUV,0,0,0,0,0,0,0,0,0,0,0,0
get_mem2D_spp,0,0,0,0,0,0,0,0,0,0,0,0
init_slice,9.38,24.02,0,0,25,75,3600,0,50,50,0.02,28.5
free_mem3Ddistblk,0,0,0,0,0,0,0,0,0,0,-0.44,0
compare_fs_by_poc_desc,0,0,0,0,0,0,0,0,0,0,0,0
pad_buf,166.67,100,0,0,0,0,0,0,0,0,-0.03,19
get_mem3Dquant,0,0,0,0,0,0,0,0,0,0,-0.03,0
x264_pixel_satd_8x4,28.79,49.42,496.97,59.59,1200,80,0,0,0,91.42,2.31,58.1
get_ref,292.81,35.37,0,0,0,0,0,0,0,0,-1.22,29.4
quant_4x4,0,100,0,0,0,0,0,0,0,0,-0.45,76.1
mc_chroma,62.5,75,66.67,66.66,300,100,0,0,0,0,0.41,50
x264_pixel_sad_16x16,0,100,-50,100,0,0,0,0,0,0,0.02,46.4
refine_subpel,2.24,25.5,0,0,0,0,0,0,0,0,-0.02,5.6
sub4x4_dct,0,4.76,0,0,0,0,525.5,-52.71,0,0,-0.07,31.3
